namea,nameb,dyad.id
CAN,USA,2020
CUB,USA,2040
HAI,USA,2041
DOM,USA,2042
GRN,USA,2055
MEX,USA,2070
GUA,USA,2090
HON,USA,2091
SAL,USA,2092
NIC,USA,2093
PAN,USA,2095
COL,USA,2100
VEN,USA,2101
ECU,USA,2130
PER,USA,2135
BRA,USA,2140
CHL,USA,2155
UKG,USA,2200
FRN,USA,2220
SWZ,USA,2225
SPN,USA,2230
GMY,USA,2255
GDR,USA,2265
POL,USA,2290
AUH,USA,2300
AUS,USA,2305
HUN,USA,2310
CZE,USA,2315
ITA,USA,2325
ALB,USA,2339
YUG,USA,2345
GRC,USA,2350
BUL,USA,2355
ROM,USA,2360
RUS,USA,2365
SWD,USA,2380
CDI,USA,2437
LBR,USA,2450
SOM,USA,2520
MOR,USA,2600
LIB,USA,2620
SUD,USA,2625
IRN,USA,2630
TUR,USA,2640
IRQ,USA,2645
EGY,USA,2651
SYR,USA,2652
JOR,USA,2663
ISR,USA,2666
YAR,USA,2678
YPR,USA,2680
AFG,USA,2700
CHN,USA,2710
TAW,USA,2713
PRK,USA,2731
JPN,USA,2740
PAK,USA,2770
THI,USA,2800
CAM,USA,2811
DRV,USA,2816
INS,USA,2850
HAI,CAN,20041
SAL,CAN,20092
FRN,CAN,20220
SPN,CAN,20230
POR,CAN,20235
GMY,CAN,20255
HUN,CAN,20310
ITA,CAN,20325
YUG,CAN,20345
ROM,CAN,20360
RUS,CAN,20365
FIN,CAN,20375
DEN,CAN,20390
LIB,CAN,20620
IRQ,CAN,20645
AFG,CAN,20700
CHN,CAN,20710
PRK,CAN,20731
JPN,CAN,20740
DOM,CUB,40042
JAM,CUB,40051
BAR,CUB,40053
DMA,CUB,40054
SLU,CUB,40056
SVG,CUB,40057
AAB,CUB,40058
VEN,CUB,40101
FRN,CUB,40220
GMY,CUB,40255
ITA,CUB,40325
CEN,CUB,40482
DRC,CUB,40490
SOM,CUB,40520
ZAM,CUB,40551
SAF,CUB,40560
MOR,CUB,40600
EGY,CUB,40651
JPN,CUB,40740
DOM,HAI,41042
ARG,HAI,41160
UKG,HAI,41200
NTH,HAI,41210
FRN,HAI,41220
GMY,HAI,41255
HUN,HAI,41310
ITA,HAI,41325
BUL,HAI,41355
ROM,HAI,41360
JPN,HAI,41740
VEN,DOM,42101
FRN,DOM,42220
GMY,DOM,42255
ITA,DOM,42325
JPN,DOM,42740
GRN,JAM,51055
HON,JAM,51091
VEN,TRI,52101
GRN,BAR,53055
GRN,DMA,54055
SLU,GRN,55056
SVG,GRN,55057
AAB,GRN,55058
GUA,MEX,70090
NIC,MEX,70093
UKG,MEX,70200
FRN,MEX,70220
SPN,MEX,70230
GMY,MEX,70255
ITA,MEX,70325
JPN,MEX,70740
GUA,BLZ,80090
HON,GUA,90091
SAL,GUA,90092
NIC,GUA,90093
UKG,GUA,90200
SPN,GUA,90230
GMY,GUA,90255
ITA,GUA,90325
JPN,GUA,90740
SAL,HON,91092
NIC,HON,91093
GMY,HON,91255
ITA,HON,91325
JPN,HON,91740
NIC,SAL,92093
GMY,SAL,92255
ITA,SAL,92325
JPN,SAL,92740
COS,NIC,93094
COL,NIC,93100
GMY,NIC,93255
AUH,NIC,93300
HUN,NIC,93310
ITA,NIC,93325
BUL,NIC,93355
ROM,NIC,93360
JPN,NIC,93740
PAN,COS,94095
GMY,COS,94255
ITA,COS,94325
JPN,COS,94740
ECU,PAN,95130
GMY,PAN,95255
ITA,PAN,95325
PRK,PAN,95731
JPN,PAN,95740
VEN,COL,100101
ECU,COL,100130
PER,COL,100135
BRA,COL,100140
UKG,COL,100200
FRN,COL,100220
GMY,COL,100255
ITA,COL,100325
RUS,COL,100365
CHN,COL,100710
PRK,COL,100731
GUY,VEN,101110
CHL,VEN,101155
UKG,VEN,101200
NTH,VEN,101210
FRN,VEN,101220
GMY,VEN,101255
ITA,VEN,101325
RUS,VEN,101365
JPN,VEN,101740
SUR,GUY,110115
BRA,GUY,110140
PER,ECU,130135
SPN,ECU,130230
BRA,PER,135140
BOL,PER,135145
CHL,PER,135155
SPN,PER,135230
GMY,PER,135255
JPN,PER,135740
BOL,BRA,140145
PAR,BRA,140150
ARG,BRA,140160
UKG,BRA,140200
FRN,BRA,140220
GMY,BRA,140255
ITA,BRA,140325
RUS,BRA,140365
LIB,BRA,140620
JPN,BRA,140740
PAR,BOL,145150
CHL,BOL,145155
ARG,BOL,145160
SPN,BOL,145230
GMY,BOL,145255
ITA,BOL,145325
JPN,BOL,145740
ARG,PAR,150160
UKG,PAR,150200
GMY,PAR,150255
JPN,PAR,150740
ARG,CHL,155160
UKG,CHL,155200
FRN,CHL,155220
SPN,CHL,155230
GMY,CHL,155255
ITA,CHL,155325
JPN,CHL,155740
URU,ARG,160165
UKG,ARG,160200
FRN,ARG,160220
GMY,ARG,160255
YUG,ARG,160345
RUS,ARG,160365
NOR,ARG,160385
GHA,ARG,160452
IRQ,ARG,160645
TAW,ARG,160713
JPN,ARG,160740
UKG,URU,165200
GMY,URU,165255
NOR,URU,165385
JPN,URU,165740
NTH,UKG,200210
FRN,UKG,200220
SWZ,UKG,200225
SPN,UKG,200230
POR,UKG,200235
HAN,UKG,200240
GMY,UKG,200255
GDR,UKG,200265
POL,UKG,200290
AUH,UKG,200300
AUS,UKG,200305
HUN,UKG,200310
CZE,UKG,200315
ITA,UKG,200325
SIC,UKG,200329
ALB,UKG,200339
YUG,UKG,200345
GRC,UKG,200350
BUL,UKG,200355
ROM,UKG,200360
RUS,UKG,200365
USR,UKG,200365
LIT,UKG,200368
FIN,UKG,200375
SWD,UKG,200380
NOR,UKG,200385
DEN,UKG,200390
ICE,UKG,200395
UGA,UKG,200500
ZIM,UKG,200552
MOR,UKG,200600
LIB,UKG,200620
IRN,UKG,200630
TUR,UKG,200640
IRQ,UKG,200645
EGY,UKG,200651
SYR,UKG,200652
JOR,UKG,200663
ISR,UKG,200666
SAU,UKG,200670
YAR,UKG,200678
AFG,UKG,200700
CHN,UKG,200710
TAW,UKG,200713
KOR,UKG,200730
PRK,UKG,200731
JPN,UKG,200740
THI,UKG,200800
INS,UKG,200850
SPN,IRE,205230
GMY,IRE,205255
YUG,IRE,205345
BEL,NTH,210211
FRN,NTH,210220
GMY,NTH,210255
YUG,NTH,210345
RUS,NTH,210365
LIB,NTH,210620
IRQ,NTH,210645
AFG,NTH,210700
CHN,NTH,210710
PRK,NTH,210731
JPN,NTH,210740
INS,NTH,210850
GMY,BEL,211255
GDR,BEL,211265
AUH,BEL,211300
YUG,BEL,211345
RUS,BEL,211365
DRC,BEL,211490
LIB,BEL,211620
IRQ,BEL,211645
CHN,BEL,211710
PRK,BEL,211731
GMY,LUX,212255
YUG,LUX,212345
LIB,LUX,212620
CHN,LUX,212710
PRK,LUX,212731
SPN,FRN,220230
POR,FRN,220235
BAV,FRN,220245
GMY,FRN,220255
GDR,FRN,220265
BAD,FRN,220267
WRT,FRN,220271
POL,FRN,220290
AUH,FRN,220300
HUN,FRN,220310
CZE,FRN,220315
ITA,FRN,220325
PAP,FRN,220327
SIC,FRN,220329
ALB,FRN,220339
CRO,FRN,220344
YUG,FRN,220345
GRC,FRN,220350
BUL,FRN,220355
RUS,FRN,220365
LIT,FRN,220368
CDI,FRN,220437
GAB,FRN,220481
CON,FRN,220484
DRC,FRN,220490
UGA,FRN,220500
SOM,FRN,220520
ANG,FRN,220540
SAF,FRN,220560
COM,FRN,220581
MOR,FRN,220600
TUN,FRN,220616
LIB,FRN,220620
SUD,FRN,220625
IRN,FRN,220630
TUR,FRN,220640
IRQ,FRN,220645
EGY,FRN,220651
LEB,FRN,220660
JOR,FRN,220663
ISR,FRN,220666
SAU,FRN,220670
AFG,FRN,220700
CHN,FRN,220710
PRK,FRN,220731
JPN,FRN,220740
THI,FRN,220800
AUS,FRN,220900
GMY,SWZ,225255
YUG,SWZ,225345
ISR,SWZ,225666
POR,SPN,230235
GMY,SPN,230255
AUH,SPN,230300
ITA,SPN,230325
YUG,SPN,230345
RUS,SPN,230365
EQG,SPN,230411
MOR,SPN,230600
ALG,SPN,230615
LIB,SPN,230620
IRQ,SPN,230645
AFG,SPN,230700
CHN,SPN,230710
PRK,SPN,230731
ROK,SPN,230732
GMY,POR,235255
AUH,POR,235300
YUG,POR,235345
RUS,POR,235365
SEN,POR,235433
BEN,POR,235434
GUI,POR,235438
CON,POR,235484
DRC,POR,235490
TAZ,POR,235510
ZAM,POR,235551
MAW,POR,235553
LIB,POR,235620
AFG,POR,235700
CHN,POR,235710
IND,POR,235750
INS,POR,235850
AUL,POR,235900
GMY,HAN,240255
MEC,HAN,240280
ITA,HAN,240325
DEN,HAN,240390
GMY,BAV,245255
MEC,BAV,245280
ITA,BAV,245325
SWD,BAV,245380
BAD,GMY,255267
SAX,GMY,255269
WRT,GMY,255271
HSE,GMY,255273
HSG,GMY,255275
POL,GMY,255290
AUH,GMY,255300
AUS,GMY,255305
HUN,GMY,255310
CZE,GMY,255315
ITA,GMY,255325
ALB,GMY,255339
YUG,GMY,255345
GRC,GMY,255350
BUL,GMY,255355
ROM,GMY,255360
RUS,GMY,255365
EST,GMY,255366
LAT,GMY,255367
LIT,GMY,255368
FIN,GMY,255375
SWD,GMY,255380
NOR,GMY,255385
DEN,GMY,255390
LBR,GMY,255450
ETH,GMY,255530
SAF,GMY,255560
LIB,GMY,255620
IRN,GMY,255630
TUR,GMY,255640
IRQ,GMY,255645
EGY,GMY,255651
SAU,GMY,255670
AFG,GMY,255700
CHN,GMY,255710
JPN,GMY,255740
THI,GMY,255800
AUL,GMY,255900
NEW,GMY,255920
GDR,GFR,260265
POL,GFR,260290
CZE,GFR,260315
RUS,GFR,260365
ICE,GFR,260395
TAW,GFR,260713
CZE,GDR,265315
MEC,BAD,267280
ITA,BAD,267325
DEN,BAD,267390
MEC,SAX,269280
ITA,SAX,269325
DEN,SAX,269390
MEC,WRT,271280
ITA,WRT,271325
DEN,WRT,271390
MEC,HSE,273280
ITA,HSE,273325
MEC,HSG,275280
ITA,HSG,275325
DEN,HSG,275390
AUH,MEC,280300
CZE,POL,290315
YUG,POL,290345
RUS,POL,290365
EST,POL,290366
LIT,POL,290368
LIB,POL,290620
IRQ,POL,290645
TAW,POL,290713
ITA,AUH,300325
PAP,AUH,300327
SIC,AUH,300329
MOD,AUH,300332
TUS,AUH,300337
ALB,AUH,300339
YUG,AUH,300345
GRC,AUH,300350
ROM,AUH,300360
RUS,AUH,300365
DEN,AUH,300390
TUR,AUH,300640
CHN,AUH,300710
JPN,AUH,300740
THI,AUH,300800
HUN,AUS,305310
CZE,AUS,305315
ITA,AUS,305325
YUG,AUS,305345
CZE,HUN,310315
ITA,HUN,310325
CRO,HUN,310344
YUG,HUN,310345
ROM,HUN,310360
RUS,HUN,310365
LIB,HUN,310620
AUL,HUN,310900
NEW,HUN,310920
BUL,CZE,315355
ROM,CZE,315360
RUS,CZE,315365
TAW,CZE,315713
YUG,CZR,316345
LIB,CZR,316620
YUG,SLO,317345
LIB,SLO,317620
PAP,ITA,325327
SIC,ITA,325329
ALB,ITA,325339
YUG,ITA,325345
GRC,ITA,325350
BUL,ITA,325355
ROM,ITA,325360
RUS,ITA,325365
LIT,ITA,325368
SWD,ITA,325380
DEN,ITA,325390
ETH,ITA,325530
SAF,ITA,325560
LIB,ITA,325620
IRN,ITA,325630
TUR,ITA,325640
IRQ,ITA,325645
EGY,ITA,325651
SAU,ITA,325670
CHN,ITA,325710
IND,ITA,325750
THI,ITA,325800
AUL,ITA,325900
NEW,ITA,325920
SIC,PAP,327329
SYR,MLT,338652
MAC,ALB,339343
YUG,ALB,339345
GRC,ALB,339350
BUL,ALB,339355
LIB,ALB,339620
TUR,ALB,339640
LIB,MNG,341620
YUG,MAC,343345
YUG,CRO,344345
BOS,CRO,344346
SLV,CRO,344349
LIB,CRO,344620
INS,CRO,344850
BOS,YUG,345346
KOS,YUG,345347
SLV,YUG,345349
GRC,YUG,345350
BUL,YUG,345355
ROM,YUG,345360
RUS,YUG,345365
EST,YUG,345366
LIT,YUG,345368
UKR,YUG,345369
GRG,YUG,345372
AZE,YUG,345373
FIN,YUG,345375
SWD,YUG,345380
NOR,YUG,345385
DEN,YUG,345390
ICE,YUG,345395
MOR,YUG,345600
TUR,YUG,345640
JOR,YUG,345663
UAE,YUG,345696
LIB,SLV,349620
BUL,GRC,350355
RUS,GRC,350365
LIB,GRC,350620
TUR,GRC,350640
IRQ,GRC,350645
AFG,GRC,350700
CHN,GRC,350710
PRK,GRC,350731
TUR,CYP,352640
EGY,CYP,352651
ROM,BUL,355360
RUS,BUL,355365
SAF,BUL,355560
LIB,BUL,355620
TUR,BUL,355640
ISR,BUL,355666
KZK,BUL,355705
AUL,BUL,355900
NEW,BUL,355920
RUS,MLD,359365
UKR,MLD,359369
RUS,ROM,360365
UKR,ROM,360369
LIB,ROM,360620
TUR,ROM,360640
AUS,ROM,360900
NEW,ROM,360920
EST,RUS,365366
LAT,RUS,365367
LIT,RUS,365368
UKR,RUS,365369
GRG,RUS,365372
AZE,RUS,365373
FIN,RUS,365375
SWD,RUS,365380
NOR,RUS,365385
DEN,RUS,365390
SEN,RUS,365433
GHA,RUS,365452
SUD,RUS,365625
IRN,RUS,365630
TUR,RUS,365640
IRQ,RUS,365645
JOR,RUS,365663
ISR,RUS,365666
OMA,USR,365698
AFG,RUS,365700
KZK,RUS,365705
CHN,RUS,365710
TAW,RUS,365713
KOR,RUS,365730
ROK,RUS,365732
JPN,RUS,365740
PAK,RUS,365770
THI,RUS,365800
LAO,RUS,365812
RVN,RUS,365817
PHI,RUS,365840
AUL,RUS,365900
NEW,RUS,365920
LIB,EST,366620
LIB,LAT,367620
BLR,LIT,368370
EQG,LIT,368411
LIB,LIT,368620
AZE,ARM,371373
IRN,ARM,371630
TUR,ARM,371640
AZE,GRG,372373
IRN,AZE,373630
AUL,FIN,375900
NEW,FIN,375920
LIB,SWD,380620
DEN,NOR,385390
LIB,NOR,385620
AUL,NOR,385900
LIB,DEN,390620
LIB,ICE,395620
SEN,GNB,404433
GAB,EQG,411481
SEN,GAM,420433
MAA,MLI,432435
NIR,MLI,432436
BFO,MLI,432439
ALG,MLI,432615
MAA,SEN,433435
IRQ,SEN,433645
NIR,BEN,434436
NIG,BEN,434475
MOR,MAA,435600
ALG,MAA,435615
CHA,NIR,436483
IRQ,NIR,436645
GUI,CDI,437438
LBR,CDI,437450
NIG,CDI,437475
LBR,GUI,438450
LIB,GUI,438450
SIE,GUI,438451
GHA,GUI,438452
SIE,LBR,450451
NIG,LBR,450475
JPN,LBR,450740
GHA,SIE,451452
NIG,SIE,451475
IRQ,SIE,451645
TOG,GHA,452461
DRC,GHA,452490
NIG,CAO,471475
GAB,CAO,471481
CEN,CAO,471482
CHA,NIG,475483
CHA,CEN,482483
CON,CEN,482484
UGA,CEN,482500
ANG,CEN,482540
UGA,CHA,483500
RWA,CHA,483517
LIB,CHA,483620
SUD,CHA,483625
DRC,CON,484490
ANG,CON,484540
MOR,CON,484600
EGY,CON,484651
UGA,DRC,490500
BUI,DRC,490516
RWA,DRC,490517
ANG,DRC,490540
ZAM,DRC,490551
ZIM,DRC,490552
SAF,DRC,490560
LIB,DRC,490620
SSD,DRC,490626
KEN,UGA,500501
TAZ,UGA,500510
RWA,UGA,500517
ANG,UGA,500540
ZAM,UGA,500551
ZIM,UGA,500552
NAM,UGA,500565
MOR,UGA,500600
SUD,UGA,500625
SUD,UGD,500625
EGY,UGA,500651
ISR,UGA,500666
TAZ,KEN,501510
SOM,KEN,501520
ETH,KEN,501530
EGY,KEN,501651
BUI,TAZ,510516
ZIM,TAZ,510552
SAF,TAZ,510560
LIB,TAZ,510620
RWA,BUI,516517
ANG,RWA,517540
ZIM,RWA,517552
NAM,RWA,517565
ETH,SOM,520530
ZIM,SOM,520552
LIB,SOM,520620
ERI,DJI,522531
ERI,ETH,530531
SUD,ETH,530625
CHN,ETH,530710
PRK,ETH,530731
JPN,ETH,530740
SUD,ERI,531625
YEM,ERI,531679
ZAM,ANG,540551
ZIM,ANG,540552
SAF,ANG,540560
MOR,ANG,540600
EGY,ANG,540651
ZIM,MZM,541552
MAW,MZM,541553
SAF,MZM,541560
SWA,MZM,541572
ZIM,ZAM,551552
MAW,ZAM,551553
SAF,ZAM,551560
MAW,ZIM,552553
SAF,ZIM,552560
BOT,ZIM,552571
MAG,ZIM,552580
LES,SAF,560570
BOT,SAF,560571
SWA,SAF,560572
CHN,SAF,560710
PRK,SAF,560731
JPN,SAF,560740
BOT,NAM,565571
ALG,MOR,600615
IRQ,MOR,600645
ISR,ALG,615666
LIB,TUN,616620
IRQ,TUN,616645
ISR,TUN,616666
SUD,LIB,620625
TUR,LIB,620640
EGY,LIB,620651
JOR,LIB,620663
ISR,LIB,620666
QAT,LIB,620694
UAE,LIB,620696
OMA,LIB,620698
SSD,SUD,625626
IRQ,SUD,625645
EGY,SUD,625651
ISR,SUD,625666
TUR,IRN,630640
IRQ,IRN,630645
EGY,IRN,630651
ISR,IRN,630666
SAU,IRN,630670
YPR,IRN,630680
KUW,IRN,630690
BAH,IRN,630692
QAT,IRN,630694
UAE,IRN,630696
OMA,IRN,630698
AFG,IRN,630700
JPN,IRN,630740
IND,IRN,630750
PAK,IRN,630770
IRQ,TUR,640645
EGY,TUR,640651
SYR,TUR,640652
ISR,TUR,640666
AFG,TUR,640700
CHN,TUR,640710
PRK,TUR,640731
JPN,TUR,640740
EGY,IRQ,645651
SYR,IRQ,645652
JOR,IRQ,645663
ISR,IRQ,645666
SAU,IRQ,645670
KUW,IRQ,645690
BAH,IRQ,645692
QAT,IRQ,645694
UAE,IRQ,645696
OMA,IRQ,645698
JPN,IRQ,645740
PAK,IRQ,645770
BNG,IRQ,645771
AUL,IRQ,645900
JOR,EGY,651663
ISR,EGY,651666
SAU,EGY,651670
JPN,EGY,651740
LEB,SYR,652660
JOR,SYR,652663
ISR,SYR,652666
SAU,SYR,652670
ISR,LEB,660666
ISR,JOR,663666
YAR,JOR,663678
SAU,ISR,666670
KUW,ISR,666690
YAR,SAU,670678
YEM,SAU,670679
YPR,SAU,670680
QAT,SAU,670694
JPN,SAU,670740
YPR,YAR,678680
OMA,YAR,678698
OMA,YPR,680698
QAT,BAH,692694
TKM,AFG,700701
TAJ,AFG,700702
KYR,AFG,700703
UZB,AFG,700704
KZK,AFG,700705
PAK,AFG,700770
AUL,AFG,700900
KYR,TAJ,702703
UZB,TAJ,702704
UZB,KYR,703704
MON,CHN,710712
TAW,CHN,710713
PRK,CHN,710731
ROK,CHN,710732
JPN,CHN,710740
IND,CHN,710750
BHU,CHN,710760
PAK,CHN,710770
MYA,CHN,710775
NEP,CHN,710790
THI,CHN,710800
CAM,CHN,710811
LAO,CHN,710812
DRV,CHN,710816
RVN,CHN,710817
MAL,CHN,710820
PHI,CHN,710840
INS,CHN,710850
AUL,CHN,710900
NEW,CHN,710920
JPN,MON,712740
PRK,TAW,713731
JPN,TAW,713740
MYA,TAW,713775
DRV,TAW,713816
RVN,TAW,713817
PHI,TAW,713840
JPN,KOR,730740
ROK,PRK,731732
JPN,PRK,731740
THI,PRK,731800
PHI,PRK,731840
AUL,PRK,731900
NEW,PRK,731920
JPN,ROK,732740
CAM,ROK,732811
DRV,ROK,732816
THI,JPN,740800
PHI,JPN,740840
INS,JPN,740850
AUS,JPN,740900
PNG,JPN,740910
NEW,JPN,740920
PAK,IND,750770
BNG,IND,750771
MYA,IND,750775
SRI,IND,750780
NEP,IND,750790
PNG,IND,750910
MYA,PAK,770775
MYA,BNG,771775
THI,MYA,775800
CAM,THI,800811
LAO,THI,800812
DRV,THI,800816
MAL,THI,800820
INS,THI,800850
AUL,THI,800900
NEW,THI,800920
LAO,CAM,811812
DRV,CAM,811816
RVN,CAM,811817
PHI,CAM,811840
DRV,LAO,812816
RVN,DRV,816817
MAL,DRV,816820
PHI,DRV,816840
INS,DRV,816850
AUL,DRV,816900
NEW,DRV,816920
PHI,RVN,817840
SIN,MAL,820830
PHI,MAL,820840
INS,MAL,820850
INS,PHI,840850
PAL,PHI,840986
AUL,INS,850900
PNG,INS,850910
SOL,PNG,910940
